+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME           | PACKAGE VERSION    | CVE DESCRIPTION                                 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2021:1989   | bind-export-libs       | 32:9.11.26-3.el8   | The Berkeley Internet Name Domain (BIND) is     |
|            |                       |                        |                    | an implementation of the Domain Name System     |
|            |                       |                        |                    | (DNS) protocols. BIND includes a DNS server     |
|            |                       |                        |                    | (named); a resolver library (routines for       |
|            |                       |                        |                    | applications to use when interfacing with       |
|            |                       |                        |                    | DNS); and tools for verifying that the DNS      |
|            |                       |                        |                    | server is operating correctly. Security         |
|            |                       |                        |                    | Fix(es): * bind: An assertion check can fail    |
|            |                       |                        |                    | while answering queries for DNAME records that  |
|            |                       |                        |                    | require the DNAME to be processed to resolve    |
|            |                       |                        |                    | itself (CVE-2021-25215) For more details        |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:1989 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2022:0951   | expat                  | 2.2.5-4.el8        | Expat is a C library for parsing XML documents. |
|            |                       |                        |                    | Security Fix(es): * expat: Malformed 2-         |
|            |                       |                        |                    | and 3-byte UTF-8 sequences can lead to          |
|            |                       |                        |                    | arbitrary code execution (CVE-2022-25235)       |
|            |                       |                        |                    | * expat: Namespace-separator characters in      |
|            |                       |                        |                    | "xmlns[:prefix]" attribute values can lead      |
|            |                       |                        |                    | to arbitrary code execution (CVE-2022-25236)    |
|            |                       |                        |                    | * expat: Integer overflow in storeRawNames()    |
|            |                       |                        |                    | (CVE-2022-25315) * expat: Large number of       |
|            |                       |                        |                    | prefixed XML attributes on a single tag can     |
|            |                       |                        |                    | crash libexpat (CVE-2021-45960) * expat:        |
|            |                       |                        |                    | Integer overflow in doProlog in xmlparse.c      |
|            |                       |                        |                    | (CVE-2021-46143) * expat: Integer overflow      |
|            |                       |                        |                    | in addBinding in xmlparse.c (CVE-2022-22822)    |
|            |                       |                        |                    | * expat: Integer overflow in build_model        |
|            |                       |                        |                    | in xmlparse.c (CVE-2022-22823) * expat:         |
|            |                       |                        |                    | Integer overflow in defineAttribute in          |
|            |                       |                        |                    | xmlparse.c (CVE-2022-22824) * expat:            |
|            |                       |                        |                    | Integer overflow in lookup in xmlparse.c        |
|            |                       |                        |                    | (CVE-2022-22825) * expat: Integer overflow in   |
|            |                       |                        |                    | nextScaffoldPart in xmlparse.c (CVE-2022-22826) |
|            |                       |                        |                    | * expat: Integer overflow in storeAtts          |
|            |                       |                        |                    | in xmlparse.c (CVE-2022-22827) * expat:         |
|            |                       |                        |                    | Integer overflow in function XML_GetBuffer      |
|            |                       |                        |                    | (CVE-2022-23852) For more details about the     |
|            |                       |                        |                    | security issue(s), including the impact,        |
|            |                       |                        |                    | a CVSS score, acknowledgments, and other        |
|            |                       |                        |                    | related information, refer to the CVE           |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0951 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | High RHSA-2021:2717   | systemd-udev           | 239-45.el8         | The systemd packages contain systemd, a system  |
|            |                       |                        |                    | and service manager for Linux, compatible with  |
|            |                       |                        |                    | the SysV and LSB init scripts. It provides      |
|            |                       |                        |                    | aggressive parallelism capabilities, uses       |
